"Portland - West Hills, Portland, OR (KORPORTL26)"
"Portland, OR (MD3762)"
"Foster-Powell, SE 63rd, Portland, OR (KORPORTL81)"
"Forest Heights, Portland, OR (KORPORTL155)"
"Peterkort, Portland, OR (KORPORTL377)"
"Beaumont-Wilshire, Portland, OR (KORPORTL215)"
"Milwaukie, OR (KORMILWA5)"
"Hollywood-Rose City Park, Portland, OR (KORPORTL232)"
"Dunthorpe, Portland, OR (KORPORTL435)"
"Cedar Hills, Portland, OR (KORPORTL262)"
"Cedar Mill-Peterkort, Cedar Mill, OR (KORPORTL148)"
"Walker/217, Beaverton, OR (KORBEAVE25)"
"Rose City Park .Normandale NE, Portland, OR (KORPORTL222)"
"Mountain Park, Lake Oswego, OR, Lake Oswego, OR (KORLAKEO26)"
"Southeast Portland, Portland, OR (KORPORTL299)"
"Milwaukie, OR (KORMILWA3)"
"Kittyland Love Center, E Tabor, Portland, OR (KORPORTL228)"
"Foster-Powell, SE 74th, Portland, OR (KORPORTL324)"
"Stanley at Johnson Creek, Portland, OR (KORPORTL410)"
"Southeast Portland, Portland, OR (KORPORTL315)"
"Beaumont Village Lofts, Portland, OR (KORPORTL191)"
"Lake Oswego, OR (ME1133)"
"Logus-Stanley, Milwaukie, OR (KORMILWA6)"
"Taborvilla, Portland, OR (KORPORTL358)"
"Concordia University, Portland, OR (KORPORTL100)"
"Kenton, Portland, OR (KORPORTL333)"
"Northeast 78th Avenue, Portland, OR (KORPORTL354)"
"Kenton, Portland, OR (KORPORTL63)"
"Sacramento Ridge, Portland, OR (KORPORTL418)"
"Portland, OR (MODT14)"
"Portland, OR (MD9370)"
"Southeast Portland, Portland, OR (KORPORTL258)"
"Mikeshouse Cully, Portland, OR (KORPORTL415)"
"Linwood Neighborhood, Milwaukie, Or, Milwaukie, OR (KORMILWA17)"
"Madison South Neighborhood, Portland, OR (KORPORTL282)"
"Forest Park, Portland, OR (KORPORTL203)"
"TinyHouse, Portland, OR (KORPORTL352)"
"Lents Neighborhood, Portland, OR (KORPORTL52)"
"Starkwood, Portland, OR (KORPORTL150)"
"Parkrose Heights, Portland, OR (KORPORTL318)"
"Mt Scott 876', Happy Valley, OR (KORHAPPY8)"
"Mt. Scott/el. 1000', Happy Valley, OR (KORHAPPY7)"
"Powellhurst-Gilbert, Portland, OR (KORPORTL424)"
"Southeast Portland, Portland, OR (KORPORTL253)"
"Russell, Portland, OR (KORPORTL189)"
"Portland, OR (MKPQR)"
"Muldokken's house, Portland, OR (KORPORTL249)"
"Mountain Gate Rd, Happy Valley, OR (KORHAPPY20)"
"Red's House, Portland, OR (KORPORTL186)"
"Pleasant Valley, Portland, OR (KORPORTL217)"
"Donatello Loop, Happy Valley, OR (KORHAPPY11)"
"Happy Valley, OR, Happy Valley, OR (KORHAPPY15)"
"Happy Valley Heights, Happy Valley, OR (KORHAPPY12)"
"Old Evergreen Highway, Vancouver, WA (KWAVANCO156)"
"Southern Ridge Neighborhood, Happy Valley, OR (KORHAPPY16)"
